"Table with row headers in column A and column headers in rows 4 and 5, 57 and 58, 110 and 111, 163 and 164, 216 and 217, 269 and 270, 322 and 323, 375 and 376, 428 and 429, 481 and 482, 534 and 535, 587 and 588, 640 and 641, 693 and 694, 746 and 747, 799 and 800, 852 and 853, 905 and 906, 958 and 959, 1011 and 1012, 1064 and 1065, 1117 and 1118, 1170 and 1171, 1223 and 1224, 1276 and 1277, 1329 and 1330, 1382 and 1383, 1435 and 1436, 1488 and 1489, 1541 and 1542, 1594 and 1595, 1647 and 1648, 1700 and 1701, 1753 and 1754, 1806 and 1807, 1859 and 1860, 1912 and 1913, 1965 and 1966, and 2018 and 2019.",,,,,
"Table 21. Number of Poor and Poverty Rate, by State: 1980 to  2017",,,,,
NOTE: Number in thousands.,,,,,
2017,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,806",723,49,15.0,1.0
Alaska,717,103,14,14.4,1.9
Arizona,"6,990",926,107,13.2,1.5
Arkansas,"2,924",432,28,14.8,0.9
California,"39,237","4,872",187,12.4,0.5
Colorado,"5,527",427,53,7.7,1.0
Connecticut,"3,555",388,42,10.9,1.2
Delaware,967,89,10,9.2,1.0
District of Columbia,692,94,7,13.6,1.1
Florida,"20,894","2,864",175,13.7,0.8
Georgia,"10,227","1,356",103,13.3,1.0
Hawaii,"1,402",144,18,10.3,1.3
Idaho,"1,732",202,20,11.7,1.2
Illinois,"12,604","1,379",105,10.9,0.8
Indiana,"6,533",748,63,11.4,1.0
Iowa,"3,054",278,37,9.1,1.2
Kansas,"2,870",421,37,14.7,1.3
Kentucky,"4,401",633,69,14.4,1.6
Louisiana,"4,538",970,53,21.4,1.2
Maine,"1,317",158,20,12.0,1.5
Maryland,"5,967",467,62,7.8,1.0
Massachusetts,"6,796",724,63,10.6,0.9
Michigan,"9,889","1,259",95,12.7,1.0
Minnesota,"5,619",519,66,9.2,1.2
Mississippi,"2,947",538,41,18.3,1.4
Missouri,"5,979",666,86,11.1,1.4
Montana,"1,039",101,10,9.7,0.9
Nebraska,"1,875",194,23,10.4,1.2
Nevada,"2,982",409,37,13.7,1.2
New Hampshire,"1,334",88,13,6.6,0.9
New Jersey,"9,007",774,82,8.6,0.9
New Mexico,"2,040",380,30,18.6,1.5
New York,"19,733","2,641",150,13.4,0.8
North Carolina,"10,292","1,494",99,14.5,1.0
North Dakota,742,84,10,11.3,1.3
Ohio,"11,502","1,458",102,12.7,0.9
Oklahoma,"3,817",482,46,12.6,1.2
Oregon,"4,199",430,60,10.2,1.4
Pennsylvania,"12,571","1,411",92,11.2,0.7
Rhode Island,"1,045",127,15,12.2,1.5
South Carolina,"4,959",773,56,15.6,1.1
South Dakota,871,91,12,10.4,1.4
Tennessee,"6,699",769,55,11.5,0.8
Texas,"28,078","3,768",181,13.4,0.6
Utah,"3,127",269,34,8.6,1.1
Vermont,613,63,8,10.2,1.3
Virginia,"8,249",847,77,10.3,0.9
Washington,"7,431",736,63,9.9,0.9
West Virginia,"1,794",311,28,17.3,1.5
Wisconsin,"5,808",551,43,9.5,0.7
Wyoming,560,70,8,12.4,1.4
2016,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,821",782,63,16.2,1.3
Alaska,708,89,12,12.6,1.7
Arizona,"6,878","1,108",79,16.1,1.1
Arkansas,"2,941",471,28,16.0,0.9
California,"39,143","5,435",175,13.9,0.4
Colorado,"5,502",467,51,8.5,0.9
Connecticut,"3,567",351,45,9.8,1.3
Delaware,947,110,12,11.6,1.3
District of Columbia,685,112,7,16.3,1.0
Florida,"20,524","2,659",125,13.0,0.6
Georgia,"10,270","1,580",116,15.4,1.1
Hawaii,"1,392",129,17,9.3,1.2
Idaho,"1,679",187,17,11.1,1.0
Illinois,"12,583","1,517",102,12.1,0.8
Indiana,"6,493",768,67,11.8,1.0
Iowa,"3,099",302,29,9.8,0.9
Kansas,"2,859",321,33,11.2,1.2
Kentucky,"4,383",667,57,15.2,1.3
Louisiana,"4,573",923,46,20.2,1.0
Maine,"1,317",167,19,12.7,1.4
Maryland,"5,930",424,54,7.1,0.9
Massachusetts,"6,775",649,56,9.6,0.8
Michigan,"9,875","1,091",82,11.1,0.8
Minnesota,"5,430",470,49,8.7,0.9
Mississippi,"2,943",622,46,21.1,1.5
Missouri,"5,878",762,73,13.0,1.2
Montana,"1,031",121,10,11.7,1.0
Nebraska,"1,870",179,26,9.6,1.4
Nevada,"2,941",298,38,10.1,1.3
New Hampshire,"1,316",84,11,6.4,0.8
New Jersey,"8,836",828,82,9.4,0.9
New Mexico,"2,043",364,33,17.8,1.6
New York,"19,459","2,314",146,11.9,0.7
North Carolina,"10,056","1,363",105,13.6,1.0
North Dakota,749,83,9,11.1,1.2
Ohio,"11,442","1,573",109,13.7,0.9
Oklahoma,"3,911",571,73,14.6,1.9
Oregon,"4,124",486,49,11.8,1.2
Pennsylvania,"12,526","1,396",100,11.1,0.8
Rhode Island,"1,052",119,15,11.4,1.4
South Carolina,"4,898",690,60,14.1,1.2
South Dakota,855,124,13,14.5,1.5
Tennessee,"6,652",988,87,14.9,1.3
Texas,"27,662","3,812",166,13.8,0.6
Utah,"3,077",264,30,8.6,1.0
Vermont,622,60,6,9.6,1.0
Virginia,"8,163",929,83,11.4,1.0
Washington,"7,289",800,60,11.0,0.8
West Virginia,"1,808",326,31,18.0,1.7
Wisconsin,"5,764",620,51,10.7,0.9
Wyoming,571,62,7,10.9,1.2
2015,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,820",784,60,16.3,1.2
Alaska,703,65,6,9.2,0.9
Arizona,"6,728","1,156",84,17.2,1.3
Arkansas,"2,951",475,27,16.1,0.9
California,"39,081","5,441",211,13.9,0.5
Colorado,"5,420",538,69,9.9,1.3
Connecticut,"3,572",324,43,9.1,1.2
Delaware,958,106,12,11.1,1.2
District of Columbia,676,113,8,16.6,1.2
Florida,"20,071","3,253",176,16.2,0.9
Georgia,"10,100","1,833",111,18.1,1.1
Hawaii,"1,382",151,16,10.9,1.1
Idaho,"1,657",204,21,12.3,1.3
Illinois,"12,683","1,380",104,10.9,0.8
Indiana,"6,502",880,72,13.5,1.1
Iowa,"3,100",321,39,10.4,1.3
Kansas,"2,849",404,42,14.2,1.5
Kentucky,"4,365",851,57,19.5,1.3
Louisiana,"4,599",854,57,18.6,1.2
Maine,"1,340",165,20,12.3,1.5
Maryland,"5,892",566,70,9.6,1.2
Massachusetts,"6,777",782,65,11.5,1.0
Michigan,"9,852","1,259",98,12.8,1.0
Minnesota,"5,458",428,58,7.8,1.1
Mississippi,"2,947",563,33,19.1,1.1
Missouri,"5,946",582,71,9.8,1.2
Montana,"1,018",121,12,11.9,1.2
Nebraska,"1,858",192,18,10.3,1.0
Nevada,"2,864",371,36,13.0,1.3
New Hampshire,"1,293",94,13,7.3,1.0
New Jersey,"8,936","1,004",95,11.2,1.1
New Mexico,"2,036",400,28,19.7,1.4
New York,"19,645","2,791",156,14.2,0.8
North Carolina,"9,887","1,509",95,15.3,1.0
North Dakota,763,82,12,10.7,1.5
Ohio,"11,435","1,550",105,13.6,0.9
Oklahoma,"3,887",551,45,14.2,1.1
Oregon,"4,029",478,69,11.9,1.7
Pennsylvania,"12,564","1,542",107,12.3,0.9
Rhode Island,"1,044",123,16,11.8,1.5
South Carolina,"4,790",683,56,14.3,1.2
South Dakota,848,118,10,13.9,1.2
Tennessee,"6,605",973,70,14.7,1.1
Texas,"27,396","4,036",207,14.7,0.8
Utah,"3,004",279,30,9.3,1.0
Vermont,609,65,8,10.7,1.3
Virginia,"8,216",894,81,10.9,1.0
Washington,"7,193",819,54,11.4,0.8
West Virginia,"1,795",261,46,14.5,2.6
Wisconsin,"5,736",654,68,11.4,1.2
Wyoming,574,56,8,9.8,1.4
2014,,,,,
STATE,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,"4,765",848,53,17.8,1.1
Alaska,694,82,8,11.9,1.2
Arizona,"6,657","1,409",76,21.2,1.1
Arkansas,"2,891",532,44,18.4,1.5
California,"38,666","6,112",218,15.8,0.6
Colorado,"5,376",661,72,12.3,1.3
Connecticut,"3,577",308,44,8.6,1.2
Delaware,929,103,10,11.0,1.0
District of Columbia,657,125,9,19.0,1.3
Florida,"19,694","3,282",150,16.7,0.8
Georgia,"9,948","1,676",92,16.8,0.9
Hawaii,"1,365",147,16,10.8,1.1
Idaho,"1,606",199,22,12.4,1.4
Illinois,"12,774","1,756",111,13.7,0.9
Indiana,"6,470",948,85,14.6,1.3
Iowa,"3,078",317,33,10.3,1.1
Kansas,"2,851",345,31,12.1,1.1
Kentucky,"4,299",861,69,20.0,1.6
Louisiana,"4,550","1,049",53,23.1,1.2
Maine,"1,300",190,20,14.6,1.5
Maryland,"5,934",584,55,9.8,0.9
Massachusetts,"6,653",902,71,13.6,1.1
Michigan,"9,893","1,462",90,14.8,0.9
Minnesota,"5,417",447,53,8.3,1.0
Mississippi,"2,961",654,37,22.1,1.2
